period_number,context_size,cache_hit_rate,working_set_size,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
21,64000,96,2432000,1773209935.510618,1773209968.8012927,33.2894229888916,11,142,131,8384000,131,251851.76693503128,3.935183858359864,2.3237451360425876,2.3690059185028076,2.9468941688537598,3.5563019275665284,2.323745316221514,2.3690059185028076,2.946894407272339,3.5563021659851075,0,0,0,0,1252.147176560498,2.3237451360425876,RAMP_DOWN,9
22,64000,96,2688000,1773209968.8013039,1773210000.1917765,31.389101028442383,9,137,128,8192000,128,260982.30696626328,4.077848546347863,1.9421497955918312,1.8884315490722656,3.0728723287582396,3.172157039642334,1.942149979993701,1.8884316682815552,3.072872412204742,3.172157039642334,0,0,0,0,1162.022863863138,1.9421497955918312,RAMP_UP,11
23,64000,96,2688000,1773210000.1917899,1773210032.205152,32.012168884277344,11,127,116,7424000,116,231911.80912600612,3.6236220175938456,2.6452797589630914,2.6390548944473267,4.049635112285614,4.72170557975769,2.645279956275019,2.639055013656616,4.049635350704193,4.721705818176269,0,0,0,0,1318.5890856755673,2.6452797589630914,RAMP_DOWN,9
24,64000,96,2688000,1773210032.2051632,1773210064.863478,32.65708923339844,9,137,128,8192000,128,250849.05581915836,3.9195164971743495,1.9515659511089325,1.8430206775665283,2.9858579516410826,3.075137631893158,1.9515661299228668,1.8430206775665283,2.9858582735061643,3.075137870311737,0,0,0,0,1151.0026824305928,1.9515659511089325,RAMP_UP,11
25,64000,96,2944000,1773210064.8634899,1773210097.6106389,32.74592041969299,11,146,135,8640000,135,263849.66094292497,4.122650952233203,2.241464814433345,2.307755470275879,3.4713701009750366,3.5393444538116454,2.2414649998700176,2.307755470275879,3.4713703393936157,3.5393447732925414,0,0,0,0,1123.9328041992414,2.241464814433345,RAMP_DOWN,9
26,64000,96,2944000,1773210097.6106513,1773210128.885974,31.27416205406189,9,134,125,8000000,125,255802.21737582766,3.996909646497307,1.969951768875122,1.8495450019836426,2.967164182662964,3.0428715133666993,1.9699519596099853,1.8495452404022217,2.967164182662964,3.0428715705871583,0,0,0,0,1126.6509857805297,1.969951768875122,RAMP_UP,11
27,64000,96,3136000,1773210128.8859844,1773210161.4972413,32.61006426811218,11,130,119,7616000,119,233547.53113588068,3.6491801739981358,2.522099112262245,2.536489248275757,3.6616539478302,3.84740062713623,2.5220992925788175,2.536489248275757,3.6616539716720578,3.847400865554809,0,0,0,0,1296.9046851507935,2.522099112262245,RAMP_DOWN,9
28,64000,96,3136000,1773210161.4972534,1773210192.6205404,31.121855974197388,9,140,131,8384000,131,269392.6739764825,4.209260530882538,1.8527490164487417,1.871312141418457,2.1820510625839233,2.8843865871429437,1.8527492075476029,1.8713123798370361,2.182051181793213,2.8843866586685176,0,0,0,0,1370.4977205415364,1.8527490164487417,RAMP_UP,11
29,64000,96,3136000,1773210192.6205547,1773210225.1043477,32.482571840286255,11,133,122,7808000,122,240375.0552262672,3.755860237910425,2.4999600551167473,2.4942355155944824,3.72526638507843,4.4055452108383175,2.499960201685546,2.4942357540130615,3.725266623497009,4.4055452108383175,0,0,0,0,1183.7846886463474,2.4999600551167473,RAMP_DOWN,9
30,64000,96,3328000,1773210225.1043582,1773210256.6873713,31.581726551055908,9,127,119,7616000,119,241152.1101510318,3.7680017211098717,2.1037533423479866,1.8987629413604736,3.101735520362854,3.955361990928643,2.1037535286751115,1.8987631797790527,3.101735973358154,3.955362229347222,0,0,0,0,1342.8370998777498,2.1037533423479866,RAMP_DOWN,7
