request_id,phase_id,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl,prefill_complete_time,token_timestamps,tokens_per_chunk
P5_c26_r119,SUSTAINED_P5,97,64000,61952,2048,1,4.7524144649505615,4.7524144649505615,0.03691864013671875,4.789337873458862,1766196703.7429724,1766196708.5323102,26,0.0,1766196708.4953868,[1766196708.4953876],[1]
P5_c26_r121,SUSTAINED_P5,97,64000,61952,2048,1,5.459803104400635,5.459803104400635,0.0011739730834960938,5.460982322692871,1766196703.8271925,1766196709.2881749,26,0.0,1766196709.2869956,[1766196709.2869978],[1]
P5_c26_r122,SUSTAINED_P5,97,64000,61952,2048,1,5.412004232406616,5.412004232406616,0.0015110969543457031,5.413520097732544,1766196703.8758178,1766196709.2893379,26,0.0,1766196709.287822,[1766196709.2878234],[1]
P5_c26_r123,SUSTAINED_P5,97,64000,61952,2048,1,4.8302271366119385,4.8302271366119385,0.03791236877441406,4.868144750595093,1766196704.4588022,1766196709.326947,26,0.0,1766196709.2890294,[1766196709.28903],[1]
P5_c26_r120,SUSTAINED_P5,97,64000,61952,2048,1,5.504322052001953,5.504322052001953,0.03833293914794922,5.542664289474487,1766196703.7841973,1766196709.3268616,26,0.0,1766196709.2885194,[1766196709.2885199],[1]
P5_c26_r125,SUSTAINED_P5,97,64000,61952,2048,1,5.547316551208496,5.547316551208496,0.0022399425506591797,5.549560785293579,1766196704.5424182,1766196710.091979,26,0.0,1766196710.0897348,[1766196710.0897357],[1]
P5_c26_r126,SUSTAINED_P5,97,64000,61952,2048,1,4.835840463638306,4.835840463638306,0.0006158351898193359,4.836458683013916,1766196705.2557893,1766196710.092248,26,0.0,1766196710.0916297,[1766196710.0916302],[1]
P5_c26_r124,SUSTAINED_P5,97,64000,61952,2048,1,5.5908167362213135,5.5908167362213135,0.0010771751403808594,5.5918967723846436,1766196704.5003095,1766196710.0922062,26,0.0,1766196710.0911262,[1766196710.0911272],[1]
P5_c26_r127,SUSTAINED_P5,97,64000,61952,2048,1,4.793389797210693,4.793389797210693,0.0015358924865722656,4.794929027557373,1766196705.2972295,1766196710.0921586,26,0.0,1766196710.0906193,[1766196710.09062],[1]
P5_c26_r128,SUSTAINED_P5,97,64000,61952,2048,1,5.43624210357666,5.43624210357666,0.0006303787231445312,5.4368767738342285,1766196705.3559816,1766196710.7928584,26,0.0,1766196710.7922237,[1766196710.792225],[1]
P5_c26_r130,SUSTAINED_P5,97,64000,61952,2048,1,4.695095062255859,4.695095062255859,0.03722643852233887,4.732325553894043,1766196706.0986297,1766196710.8309553,26,0.0,1766196710.7937248,[1766196710.7937255],[1]
P5_c26_r129,SUSTAINED_P5,97,64000,61952,2048,1,5.394732713699341,5.394732713699341,0.03768038749694824,5.432419776916504,1766196705.3984642,1766196710.830884,26,0.0,1766196710.793197,[1766196710.7931976],[1]
P5_c26_r133,SUSTAINED_P5,97,64000,61952,2048,1,5.379814624786377,5.379814624786377,0.0011839866638183594,5.38100266456604,1766196706.2254403,1766196711.606443,26,0.0,1766196711.605255,[1766196711.6052558],[1]
P5_c26_r132,SUSTAINED_P5,97,64000,61952,2048,1,5.422094106674194,5.422094106674194,0.0015213489532470703,5.423619747161865,1766196706.1839888,1766196711.6076086,26,0.0,1766196711.606083,[1766196711.606084],[1]
P5_c26_r134,SUSTAINED_P5,97,64000,61952,2048,1,4.678889036178589,4.678889036178589,0.03680062294006348,4.715693950653076,1766196706.9284108,1766196711.6441047,26,0.0,1766196711.6072998,[1766196711.6073005],[1]
P5_c26_r131,SUSTAINED_P5,97,64000,61952,2048,1,5.465323448181152,5.465323448181152,0.03723287582397461,5.502562999725342,1766196706.1414719,1766196711.6440349,26,0.0,1766196711.6067953,[1766196711.6067963],[1]
P5_c26_r137,SUSTAINED_P5,97,64000,61952,2048,1,5.351488351821899,5.351488351821899,0.0020818710327148438,5.353573322296143,1766196707.0537405,1766196712.4073138,26,0.0,1766196712.4052289,[1766196712.4052293],[1]
P5_c26_r138,SUSTAINED_P5,97,64000,61952,2048,1,4.67535400390625,4.67535400390625,0.0016002655029296875,4.6769585609436035,1766196707.7290437,1766196712.4060023,26,0.0,1766196712.4043977,[1766196712.4043984],[1]
P5_c26_r135,SUSTAINED_P5,97,64000,61952,2048,1,5.436444282531738,5.436444282531738,0.03658485412597656,5.4730329513549805,1766196706.9705472,1766196712.4435802,26,0.0,1766196712.4069915,[1766196712.4069922],[1]
P5_c26_r136,SUSTAINED_P5,97,64000,61952,2048,1,5.3941650390625,5.3941650390625,0.03706669807434082,5.4312379360198975,1766196707.0122755,1766196712.4435134,26,0.0,1766196712.4064405,[1766196712.4064412],[1]
P5_c26_r140,SUSTAINED_P5,97,64000,61952,2048,1,5.379881858825684,5.379881858825684,0.0015060901641845703,5.381391763687134,1766196707.8133724,1766196713.1947641,26,0.0,1766196713.1932542,[1766196713.193255],[1]
P5_c26_r141,SUSTAINED_P5,97,64000,61952,2048,1,5.334813117980957,5.334813117980957,0.0011761188507080078,5.3359949588775635,1766196707.857617,1766196713.1936119,26,0.0,1766196713.19243,[1766196713.1924324],[1]
P5_c26_r142,SUSTAINED_P5,97,64000,61952,2048,1,4.6621177196502686,4.6621177196502686,0.037355899810791016,4.6994781494140625,1766196708.5323362,1766196713.2318144,26,0.0,1766196713.194454,[1766196713.1944544],[1]
P5_c26_r139,SUSTAINED_P5,97,64000,61952,2048,1,5.422732591629028,5.422732591629028,0.03778362274169922,5.460522890090942,1766196707.7712233,1766196713.2317462,26,0.0,1766196713.193956,[1766196713.1939566],[1]
P5_c26_r143,SUSTAINED_P5,97,64000,61952,2048,1,5.88530158996582,5.88530158996582,0.00156402587890625,5.886868715286255,1766196708.5740666,1766196714.4609354,26,0.0,1766196714.4593682,[1766196714.459369],[1]
P5_c26_r145,SUSTAINED_P5,97,64000,61952,2048,1,5.802419424057007,5.802419424057007,0.0010650157928466797,5.803487539291382,1766196708.657498,1766196714.4609854,26,0.0,1766196714.4599173,[1766196714.459918],[1]
P5_c26_r144,SUSTAINED_P5,97,64000,61952,2048,1,5.842130422592163,5.842130422592163,0.0026793479919433594,5.844814300537109,1766196708.6159246,1766196714.460739,26,0.0,1766196714.458055,[1766196714.4580562],[1]
P5_c26_r146,SUSTAINED_P5,97,64000,61952,2048,1,5.133418798446655,5.133418798446655,0.00061798095703125,5.1340391635894775,1766196709.3269892,1766196714.4610283,26,0.0,1766196714.460408,[1766196714.460409],[1]
